sset Code,Asset Name
ADA,Cardano
ATOM,Cosmos
BCH,Bitcoin Cash
BSV,Bitcoin SV
DASH,DASH
EOS,EOS
GNO,Gnosis
QTUM,QTUM
USDT,Tether
XDAO,DAO
XETC,Ethereum Classic
XETH,Ethereum
XLTC,Litecoin
XMLN,Watermelon
XNMC,Namecoin
XREP,Augur
XXVN,Ven
XICN,Iconomi
XXBT,Bitcoin
XXDG,Dogecoin
XXLM,Stellar Lumens
XXMR,Monero
XXTZ,Tezos
XXRP,Ripple
XZEC,Zcash
ZCAD,Canadian dollar
ZEUR,Euro
ZGBP,Great British Pound
ZJPY,Japanese Yen
ZKRW,South Korean Won
ZUSD,US Dollar
KFEE,Kraken Fee Credits
